vh,vv,hh,hv,Class of Land
0.065338857,0.137559474,5671,1499,Rice
0.029045066,0.103210315,2808,1386,Rice
0.056547012,0.279271781,1880,766,Rice
0.0350697,0.154607356,2815,981,Rice
0.04190303,0.191198483,2654,1346,Rice
0.133785844,0.168401659,2302,926,Rice
0.013499334,0.0528658,1939,1084,Rice
0.036314767,0.079650789,2019,1028,Rice
0.051746387,0.27324456,2380,923,Rice
0.036743887,0.12933667,2041,983,Rice
0.059478138,0.065217204,2078,1041,Rice
0.033181764,0.136670336,3380,1431,Rice
0.056124054,0.192923263,2311,928,Rice
0.083599262,0.162507743,3194,797,Rice
0.019799164,0.07933569,2571,1136,Rice
0.045539849,0.324929208,2327,1525,Rice
0.020103788,0.113154359,2834,670,Rice
0.043439839,0.073708542,2742,1636,Rice
0.036718942,0.035414644,2323,1038,Rice
0.014492401,0.09830118,3173,1419,Rice
0.093984246,0.154883534,3917,1397,Rice
0.041099939,0.070766352,3467,1370,Rice
0.024540255,0.052236978,2827,1424,Rice
0.015419811,0.122295827,2921,1160,Rice
0.068670884,0.378511965,1465,772,Rice
0.027385421,0.121522143,2387,801,Rice
0.052654766,0.312404066,1443,705,Rice
0.034298629,0.043283176,2052,953,Rice
0.035907641,0.141943693,2410,855,Rice
0.008376793,0.228858426,1087,577,Rice
0.051521711,0.399610609,3202,1407,Rice
0.043637849,0.140651047,1832,638,Rice
0.036236629,0.094443366,2790,1240,Rice
0.031710349,0.197321281,4674,1638,Rice
0.045085784,0.220785305,1380,515,Rice
0.018830467,0.203932151,2923,913,Rice
0.021021739,0.12487293,4316,1646,Rice
0.036242153,0.279390633,1479,788,Rice
0.038677663,0.196791202,4212,1518,Rice
0.017942216,0.189318895,2189,1252,Rice
0.02608321,0.112830564,2870,1374,Rice
0.11260768,0.188063368,4280,2125,Rice
0.041012768,0.147281617,1445,1075,Rice
0.010713826,0.15821752,2615,1769,Rice
0.04860203,0.109820932,2467,1281,Rice
0.066644736,0.224685609,2639,1407,Rice
0.02122358,0.153310001,2248,755,Rice
0.119637676,0.142934263,3028,638,Rice
0.042792592,0.063384347,2349,1273,Rice
0.049762458,0.155031487,3253,1472,Rice
0.065103002,0.274429023,2830,1214,Rice
0.065751001,0.193599865,2533,822,Rice
0.039804142,0.178042606,1774,1307,Rice
0.009840837,0.017847851,3205,1005,Rice
0.021222418,0.274362326,2780,932,Rice
0.024401069,0.244154751,832,485,Rice
0.067723379,0.548659742,2398,970,Rice
0.013169817,0.14868632,2208,759,Rice
0.049473666,0.200482801,2990,795,Rice
0.053913627,0.170659468,2772,1494,Rice
0.021053258,0.13001518,2574,1395,Rice
0.014615506,0.166052803,3398,1160,Rice
0.009636959,0.055360898,3073,1514,Rice
0.019560516,0.043936398,3212,932,Rice
0.01609266,0.179155946,2104,1032,Rice
0.084308557,0.198804006,2753,1146,Rice
0.017056316,0.105633475,2828,1420,Rice
0.007162218,0.050707798,2039,1019,Rice
0.05009754,0.132508099,2216,1076,Rice
0.070577055,0.281261891,1499,873,Rice
0.031205976,0.119350851,2775,862,Rice
0.018790532,0.09377943,2145,644,Rice
0.050298192,0.132838905,2242,1154,Rice
0.023905803,0.08451739,2494,1049,Rice
0.004566803,0.009348984,1784,1110,Rice
0.043080568,0.344432324,2748,1276,Rice
0.028726665,0.054899633,1913,941,Rice
0.022575889,0.08299648,2590,1549,Rice
0.05283916,0.123048984,2814,1711,Rice
0.023979397,0.103546821,2124,722,Rice
0.040774401,0.293101281,2239,1153,Rice
0.038787905,0.327501804,3929,1475,Rice
0.022433864,0.082569011,2481,812,Rice
0.035048589,0.091882944,3068,1087,Rice
0.079369925,0.207260832,1754,1026,Rice
0.033635445,0.137889832,2065,1141,Rice
0.073360004,0.108701929,2631,1111,Rice
0.028519776,0.12754178,3747,1674,Rice
0.006528085,0.113348022,2408,1736,Rice
0.023720384,0.058629975,2745,1164,Rice
0.032990385,0.136149123,2889,1537,Rice
0.056786802,0.106865853,3093,1108,Rice
0.034452509,0.251420021,1884,866,Rice
0.045800667,0.320796818,2194,1387,Rice
0.104436502,0.278687865,2920,1235,Rice
0.041947193,0.10785646,2423,936,Rice
0.017797923,0.085096963,2774,919,Rice
0.061722625,0.288408875,2270,981,Rice
0.060882788,0.195956677,2057,1011,Rice
0.015989915,0.085424706,3215,1084,Rice
0.052749556,0.366344094,3001,1208,Rice
0.045599855,0.317494661,3518,1223,Rice
0.022034686,0.103502549,1968,1482,Rice
0.01814555,0.153026059,2165,948,Rice
0.090531453,0.211873576,2163,1165,Rice
0.060006976,0.092838138,3167,1051,Rice
0.026023423,0.128402397,2996,776,Rice
0.016842647,0.170237511,3175,1660,Rice
0.018330205,0.101696387,3033,1658,Rice
0.039815646,0.356161356,2597,698,Rice
0.002807173,0.015819091,3479,1003,Rice
0.031487178,0.133421943,2470,1007,Rice
0.020723104,0.164823219,2947,1250,Rice
0.041363131,0.063000761,1831,1100,Rice
0.043701082,0.203332841,1478,919,Rice
0.022912461,0.054730982,2140,1092,Rice
0.077244997,0.283735543,3246,752,Rice
0.06485559,0.268116802,2936,1825,Rice
0.075924434,0.251883924,2586,1372,Rice
0.031380832,0.179085106,2806,1137,Rice
0.036739659,0.142406672,3073,1071,Rice
0.032037616,0.129334033,2355,955,Rice
0.005125491,0.111889035,2742,933,Rice
0.075458176,0.273673445,2202,911,Rice
0.046521965,0.291497707,2947,1409,Rice
0.062112108,0.16465503,3577,1446,Rice
0.101247698,0.257965803,2434,943,Rice
0.014681144,0.217801884,2470,1350,Rice
0.124341413,0.136258766,1617,753,Rice
0.020063529,0.074151799,3044,1419,Rice
0.024902442,0.136130676,1929,971,Rice
0.058393136,0.114564091,2555,933,Rice
0.007891598,0.045167245,2956,944,Rice
0.037515294,0.096168801,5074,1461,Rice
0.053700484,0.096676916,2273,1256,Rice
0.045547206,0.090939209,3073,1602,Rice
0.070526898,0.165889159,2741,797,Rice
0.059324719,0.229065433,3235,838,Rice
0.052669786,0.197577581,2730,1141,Rice
0.031973463,0.059720431,2753,1171,Rice
0.007729344,0.163143858,3116,1232,Rice
0.0394997,0.138008118,2273,1268,Rice
0.018542597,0.28010723,3869,1766,Rice
0.086220495,0.422964811,2004,1009,Rice
0.014387332,0.21332559,2601,1156,Rice
0.092182577,0.183519438,3717,746,Rice
0.010603049,0.198083356,2824,1290,Rice
0.068985164,0.263456911,2407,1128,Rice
0.017590366,0.09434858,3335,953,Rice
0.029544102,0.203111485,2620,1563,Rice
0.028992983,0.247731179,2748,1014,Rice
0.036156878,0.17525664,5493,2408,Rice
0.019828053,0.086236715,2200,1382,Rice
0.010206891,0.197089404,3635,1510,Rice
0.008852952,0.248591959,2806,982,Rice
0.004634863,0.090262078,2475,1071,Rice
0.027043264,0.361825943,1868,645,Rice
0.002938413,0.123386905,3389,1526,Rice
0.071448706,0.179237485,2664,691,Rice
0.037765622,0.297679007,2667,667,Rice
0.004945623,0.065046944,2703,1208,Rice
0.005890089,0.10150785,2025,865,Rice
0.01690113,0.259803116,2582,1243,Rice
0.008456339,0.285163999,3096,1219,Rice
0.016315568,0.171437949,2651,1327,Rice
0.008719179,0.097390637,2746,1175,Rice
0.006548612,0.050300762,2947,1143,Rice
0.057417117,0.113082103,1438,450,Rice
0.005153826,0.015848245,3262,1323,Rice
0.018938363,0.121977329,1555,1095,Rice
0.024216307,0.232214555,1305,611,Rice
0.007131908,0.140201837,1986,620,Rice
0.003019652,0.09613131,3355,1248,Rice
0.01664854,0.205628261,1636,764,Rice
0.006074906,0.060889952,2367,1557,Rice
0.007204399,0.127778843,3968,1203,Rice
0.018572448,0.033617433,1966,1055,Rice
0.006390808,0.038990483,3129,1760,Rice
0.029125258,0.243942991,2956,622,Rice
0.009777531,0.352287889,2667,962,Rice
0.011964783,0.090178959,2939,1105,Rice
0.016663974,0.217816383,4071,846,Rice
0.04111347,0.30830285,2370,585,Rice
0.029992638,0.144069552,2497,925,Rice
0.024864525,0.341432989,805,395,Rice
0.013054345,0.25288716,2052,750,Rice
0.005601203,0.142026275,2870,916,Rice
0.009512903,0.226053044,978,410,Rice
0.005425998,0.025429996,3701,1537,Rice
0.023004247,0.192830071,1461,509,Rice
0.005151804,0.172030836,2883,1926,Rice
0.010329196,0.051930107,3381,1325,Rice
0.007982877,0.200982779,1997,592,Rice
0.004575829,0.043136008,2814,1012,Rice
0.005832811,0.24214375,1679,602,Rice
0.026682375,0.175132364,2354,1230,Rice
0.003596237,0.067892969,2530,991,Rice
0.012445858,0.221165806,2232,621,Rice
0.023401784,0.222522691,2543,1098,Rice
0.009799629,0.088791125,2893,1678,Rice
0.004799571,0.029630061,4237,1455,Rice
0.022134764,0.242678598,3073,1358,Rice
0.023758478,0.348000735,2609,890,Rice
0.017848663,0.146307215,2725,1598,Rice
0.069912709,0.347214848,3194,1952,Rice
0.003086141,0.180427834,3277,1378,Rice
0.008245618,0.077875286,3023,1324,Rice
0.011542678,0.022796916,2855,1204,Rice
0.005444077,0.079667397,2588,1289,Rice
0.008616116,0.234065518,2814,1242,Rice
0.019349994,0.390873492,2413,558,Rice
0.008203299,0.140947476,1130,476,Rice
0.016266143,0.065309867,2549,775,Rice
0.016650185,0.095208742,2471,1918,Rice
0.004675658,0.044974465,3898,1813,Rice
0.010765505,0.160182238,2091,493,Rice
0.043304682,0.23807174,1399,677,Rice
0.021354891,0.229076594,2659,889,Rice
0.008102119,0.085373558,3084,1542,Rice
0.002235612,0.11434149,2068,567,Rice
0.052577056,0.10666813,2615,1203,Rice
0.007701311,0.077616401,3181,1209,Rice
0.00592139,0.093018942,3338,1964,Rice
0.02077928,0.170475259,880,389,Rice
0.01067292,0.179808944,1621,641,Rice
0.004430372,0.020293875,2289,963,Rice
0.020223008,0.269576877,2688,1326,Rice
0.013161563,0.255328089,3288,1644,Rice
0.007263714,0.085317396,2530,1079,Rice
0.004224661,0.174292549,3536,1176,Rice
0.021773925,0.355465174,1061,405,Rice
0.006341083,0.098550692,2398,1194,Rice
0.017037561,0.241112947,2293,986,Rice
0.007709237,0.055973597,3802,2125,Rice
0.02676389,0.053934824,3079,1711,Rice
0.025544222,0.173072562,2738,1158,Rice
0.022814455,0.176973626,4541,1162,Rice
0.005067006,0.024995746,3159,1631,Rice
0.077086762,0.132952064,5276,1411,Rice
0.009328517,0.025299925,3459,1642,Rice
0.009026471,0.044172809,3067,1317,Rice
0.003548792,0.031076636,2388,1613,Rice
0.004013818,0.087212488,4154,1626,Rice
0.002252278,0.532325804,2584,1293,Rice
0.013067947,0.142374694,4472,1686,Rice
0.008967428,0.130676225,2903,1127,Rice
0.004056852,0.026831621,2908,1262,Rice
0.002157894,0.042355295,3687,1305,Rice
0.004310556,0.049884453,2647,958,Rice
0.019397886,0.313117474,3058,1356,Rice
0.008132671,0.142592892,4487,2538,Rice
0.006132989,0.098267175,3269,1631,Rice
0.022174638,0.303763926,3212,1946,Rice
0.014277061,0.171677485,2848,1051,Rice
0.013259684,0.561104357,1185,591,Rice
0.010369494,0.241799548,2502,1254,Rice
0.01090897,0.254395634,2508,1034,Rice
0.004812122,0.050221961,1108,405,Rice
0.008660342,0.408208638,4771,2256,Rice
0.032557823,0.192182809,1309,749,Rice
0.007445586,0.091191545,2540,1127,Rice
0.026145564,0.436070412,2243,788,Rice
0.01236189,0.246428594,2072,1442,Rice
0.033434968,0.154639453,3086,1362,Rice
0.006688484,0.139531404,3527,1568,Rice
0.014304785,0.427309126,3500,1037,Rice
0.010603881,0.282240093,911,425,Rice
0.005250513,0.089655615,2482,1345,Rice
0.025346568,0.318606764,2750,1073,Rice
0.015802067,0.234283745,1596,712,Rice
0.007444594,0.085468687,2614,1111,Rice
0.018126633,0.065269858,3650,1634,Rice
0.029975591,0.23248598,968,408,Rice
0.01893786,0.149931803,3080,1488,Rice
0.009197707,0.01710362,2780,1579,Rice
0.008633309,0.048317466,3376,1464,Rice
0.023916531,0.277401924,2529,576,Rice
0.026023945,0.247589469,1945,599,Rice
0.007700103,0.073265813,2606,1100,Rice
0.026080741,0.293097794,1909,1100,Rice
0.012208624,0.243717268,1135,531,Rice
0.004691476,0.083056375,3195,1134,Rice
0.015314084,0.29510051,3086,2063,Rice
0.009648389,0.127821833,3132,2481,Rice
0.027081996,0.241936162,1607,867,Rice
0.005005244,0.055542193,1568,1661,Rice
0.014897631,0.105636418,2065,1440,Rice
0.012340496,0.132962897,2851,1205,Rice
0.004097991,0.187197998,1823,1524,Rice
0.019427009,0.257877648,3575,1603,Rice
0.007940772,0.034704179,3650,1217,Rice
0.02192099,0.332813889,2258,767,Rice
0.044166118,0.449120998,4210,2186,Rice
0.019128127,0.265476048,2634,988,Rice
0.003848638,0.095203109,2266,1272,Rice
0.042258214,0.085102402,2372,603,Rice
0.030245369,0.143630743,3464,1689,Rice
0.007440159,0.074066482,2483,1017,Rice
0.020158798,0.733154178,1820,1055,Rice
0.024941269,0.161299795,3062,1280,Rice
0.058894463,0.241403356,5665,2539,Non Rice
0.061168995,0.122039706,6245,2791,Non Rice
0.045671977,0.208647236,7827,4609,Non Rice
0.055621937,0.196223497,3415,2638,Non Rice
0.074412197,0.296646416,4271,2124,Non Rice
0.025753379,0.130980864,4156,2231,Non Rice
0.066279784,0.145425662,5113,3711,Non Rice
0.071319357,0.285221905,7220,3869,Non Rice
0.032604098,0.114861019,8052,3581,Non Rice
0.059875757,0.184153706,5493,3795,Non Rice
0.025842544,0.177590713,6488,4477,Non Rice
0.046617586,0.176809758,6039,3180,Non Rice
0.056984566,0.168796703,5798,2221,Non Rice
0.064890087,0.33954832,7634,3729,Non Rice
0.057422917,0.344438821,5374,2763,Non Rice
0.094945692,0.097171478,3041,2181,Non Rice
0.124487519,0.215388104,4461,3551,Non Rice
0.202397287,0.241799027,3332,2518,Non Rice
0.090665065,0.348691642,5086,2595,Non Rice
0.118453301,0.65804702,3043,2248,Non Rice
0.119566664,0.320468903,4020,2930,Non Rice
0.083088905,0.125267401,7261,2636,Non Rice
0.037246894,0.224781647,3994,4157,Non Rice
0.045089446,0.301686823,5090,3169,Non Rice
0.030316224,0.080707021,5963,2951,Non Rice
0.033857126,0.282788366,4414,2940,Non Rice
0.058646418,0.113792732,5989,4134,Non Rice
0.054821301,0.483513594,6810,4112,Non Rice
0.045179602,0.253236681,5235,4549,Non Rice
0.022236379,0.112682275,6079,3406,Non Rice
0.036737286,0.060308404,5470,4444,Non Rice
0.053671021,0.127223372,5159,3814,Non Rice
0.049104977,0.20186536,4177,2723,Non Rice
0.046190489,0.188104063,5676,3178,Non Rice
0.071358196,0.222349793,4992,3176,Non Rice
0.038840629,0.319257557,6249,5493,Non Rice
0.044454526,0.178400576,7206,4563,Non Rice
0.03817375,0.154845178,7178,3698,Non Rice
0.094995283,0.334706724,4796,2751,Non Rice
0.026121423,0.229643017,4952,2858,Non Rice
0.053357616,0.137441963,7408,1825,Non Rice
0.045473672,0.224396944,7454,4234,Non Rice
0.036847483,0.354358554,8079,5368,Non Rice
0.051112,0.320137084,7849,4198,Non Rice
0.045627423,0.254996985,6283,2559,Non Rice
0.029163243,0.201947868,5251,3653,Non Rice
0.087525509,0.182393819,5165,3465,Non Rice
0.025844144,0.138578489,5771,4475,Non Rice
0.037435282,0.205440894,5236,2491,Non Rice
0.040698934,0.210054636,6840,2660,Non Rice
0.03523219,0.267085493,4590,2850,Non Rice
0.036678649,0.221705005,6417,3743,Non Rice
0.031166567,0.287901312,4676,3633,Non Rice
0.050190277,0.137457326,4712,2880,Non Rice
0.043088362,0.230694607,4897,3082,Non Rice
0.053849086,0.287034482,6656,5342,Non Rice
0.083508916,0.20448938,6240,4667,Non Rice
0.025566943,0.091651268,6055,3005,Non Rice
0.022960823,0.163768694,5427,3085,Non Rice
0.132233381,0.191465199,3999,2503,Non Rice
0.045900475,0.260153383,6633,2833,Non Rice
0.065940388,0.271281451,4410,4004,Non Rice
0.053148061,0.154724538,5165,2022,Non Rice
0.031246826,0.118087023,3866,2480,Non Rice
0.043074638,0.160851449,5447,2779,Non Rice
0.141889527,0.134981707,6598,4785,Non Rice
0.064640194,0.223396748,10019,4454,Non Rice
0.066344403,0.243061304,5462,3663,Non Rice
0.029990656,0.229181275,6843,2757,Non Rice
0.034770392,0.03359241,3685,3972,Non Rice
0.031356931,0.088355064,5668,3024,Non Rice
0.057332546,0.204030827,7784,4606,Non Rice
0.045223072,0.115914546,5029,3058,Non Rice
0.026077589,0.197469458,5942,3501,Non Rice
0.035924181,0.160080329,3352,1888,Non Rice
0.082374468,0.390865505,3744,3498,Non Rice
0.059138875,0.412841707,5201,2590,Non Rice
0.095542833,0.460696071,4982,4380,Non Rice
0.034698952,0.110314481,4394,3532,Non Rice
0.049468309,0.153656006,6492,2765,Non Rice
0.086322963,0.359843612,5900,2397,Non Rice
0.171884552,0.399668694,3890,2085,Non Rice
0.051240828,0.297621667,4088,3361,Non Rice
0.069395483,0.136425361,3166,3000,Non Rice
0.101446383,0.517609239,4673,2053,Non Rice
0.025890717,0.154739067,4273,3122,Non Rice
0.041216895,0.112539805,5478,2507,Non Rice
0.036428377,0.136110634,7121,4467,Non Rice
0.047923937,0.291491687,4312,4138,Non Rice
0.033701103,0.271803796,5122,2472,Non Rice
0.099327132,0.285209328,5957,3666,Non Rice
0.049008518,0.488143802,4918,3007,Non Rice
0.046497893,0.400165439,9580,4290,Non Rice
0.094237104,0.251312882,6017,3047,Non Rice
0.032272421,0.115369573,5939,2332,Non Rice
0.043936748,0.124994025,3664,3435,Non Rice
0.044574529,0.166725576,5367,3022,Non Rice
0.095428362,0.294008791,4816,3678,Non Rice
0.05250046,0.136524826,6136,5053,Non Rice
0.016546095,0.321128875,4332,3239,Non Rice
0.008966655,0.012567018,1639,529,Non Rice
0.003309537,0.029179145,1586,457,Non Rice
0.005758048,0.036796361,1666,555,Non Rice
0.003659517,0.022867329,1496,597,Non Rice
0.002276993,0.024467103,1861,565,Non Rice
0.007571722,0.031593222,1577,818,Non Rice
0.004790547,0.008664524,2911,3199,Non Rice
0.006223769,0.029725121,1667,674,Non Rice
0.003641894,0.013104984,1545,511,Non Rice
0.009431214,0.015267857,2505,527,Non Rice
0.001882904,0.010124805,1749,974,Non Rice
0.00626553,0.005251693,2240,451,Non Rice
0.008860608,0.020754443,1826,504,Non Rice
0.005484597,0.030269949,1909,823,Non Rice
0.00356712,0.033823941,1414,711,Non Rice
0.004390003,0.009243306,1736,436,Non Rice
0.001486819,0.014362138,2162,477,Non Rice
0.002396235,0.043523025,1824,434,Non Rice
0.00674755,0.02174978,1643,1470,Non Rice
0.003324718,0.0434874,1536,499,Non Rice
0.006050626,0.016686101,1406,684,Non Rice
0.010041765,0.026713194,1142,411,Non Rice
0.00563965,0.03814242,1237,525,Non Rice
0.016270373,0.030688118,2495,922,Non Rice
0.282158434,3.225490332,2275,1322,Non Rice
0.010808548,0.046150837,1023,475,Non Rice
0.004031948,0.020381151,1552,561,Non Rice
0.006576467,0.022365635,2208,410,Non Rice
0.004994495,0.015524274,2474,587,Non Rice
0.005867571,0.024898948,1354,453,Non Rice
0.002006398,0.011085532,1149,420,Non Rice
0.003600145,0.025673958,3778,1517,Non Rice
0.015722767,0.244416237,9186,5237,Non Rice
0.010198066,0.248619378,864,497,Non Rice
0.007035587,0.082420163,1646,533,Non Rice
0.004134322,0.038233526,2256,425,Non Rice
0.003086233,0.022843454,2051,443,Non Rice
0.003990346,0.009105989,2105,450,Non Rice
0.003223192,0.006471501,1068,364,Non Rice
0.003957334,0.037876766,1142,467,Non Rice
0.005220893,0.02081855,1462,575,Non Rice
0.007513017,0.033244383,1495,698,Non Rice
0.00391952,0.014855875,1337,398,Non Rice
0.004022439,0.019364825,2021,433,Non Rice
0.004950223,0.025296478,2002,412,Non Rice
0.005534559,0.009998167,2328,564,Non Rice
0.005319969,0.027311895,2122,484,Non Rice
0.004667036,0.025162645,2186,536,Non Rice
0.007070634,0.018720098,1005,298,Non Rice
0.003812472,0.024200488,792,343,Non Rice
0.038596533,0.179046869,8360,3445,Non Rice
0.079288155,0.190994158,6686,3301,Non Rice
0.012816939,0.089512192,7196,5055,Non Rice
0.019575424,0.152678117,8585,3419,Non Rice
0.058803424,0.206775412,5586,4488,Non Rice
0.097975746,0.162605897,5237,3866,Non Rice
0.113913268,0.479763418,7684,4414,Non Rice
0.060831554,0.267097861,6526,3936,Non Rice
0.072456785,0.311888516,6409,3288,Non Rice
0.092539713,0.276225716,7476,3535,Non Rice
0.058128368,0.278493375,7017,3093,Non Rice
0.092982605,0.440296143,6221,3317,Non Rice
0.085509956,0.495587617,7155,2200,Non Rice
0.082160406,0.156475633,5545,2442,Non Rice
0.036333546,0.319962531,6516,3026,Non Rice
0.041400425,0.259802312,5530,3817,Non Rice
0.045245226,0.31716904,7550,4375,Non Rice
0.031793725,0.265103728,5789,3884,Non Rice
0.029001554,0.195483476,7728,3444,Non Rice
0.073367067,0.138338581,4668,4055,Non Rice
0.113300867,0.135423943,7919,3768,Non Rice
0.031457458,0.161481574,7087,3420,Non Rice
0.063360587,0.26084429,6012,2506,Non Rice
0.126564473,0.302896976,7224,3084,Non Rice
0.104580946,0.185639158,8872,3995,Non Rice
0.073976547,0.399604887,6385,2728,Non Rice
0.065450333,0.180940658,6518,3768,Non Rice
0.027626144,0.162181884,7064,5147,Non Rice
0.045194726,0.265805274,6681,3394,Non Rice
0.034211371,0.25497365,7277,3064,Non Rice
0.030371854,0.457156509,8109,3698,Non Rice
0.045453053,0.370446742,6902,3742,Non Rice
0.0329367,0.130907848,4502,3459,Non Rice
0.083357826,0.301879853,6405,3493,Non Rice
0.028434172,0.141037822,7803,5568,Non Rice
0.026534405,0.148768887,6688,3597,Non Rice
0.058604695,0.101005487,7609,3242,Non Rice
0.032416888,0.269472212,6955,3763,Non Rice
0.034298539,0.39341563,7376,4712,Non Rice
0.045977056,0.212619156,7325,4858,Non Rice
0.03415101,0.175810903,7057,4594,Non Rice
0.099235483,0.36246863,6922,4437,Non Rice
0.044937719,0.144163027,6015,2971,Non Rice
0.042852394,0.180994898,5521,4815,Non Rice
0.025006447,0.257368028,6741,3744,Non Rice
0.073043883,0.409099996,6815,2983,Non Rice
0.051930632,0.379510969,5909,2977,Non Rice
0.07708288,0.208506554,6002,3967,Non Rice
0.069890365,0.297041863,7432,4175,Non Rice
0.048647355,0.247829586,8056,2970,Non Rice
0.007489601,0.01815252,1926,396,Non Rice
0.004682764,0.019898742,1987,545,Non Rice
0.003141456,0.013137445,1868,629,Non Rice
0.010527231,0.010961466,1759,456,Non Rice
0.0057244,0.015696181,2188,373,Non Rice
0.007237357,0.031412642,2391,467,Non Rice
0.005215565,0.019541342,2312,498,Non Rice
0.006291367,0.017185701,2393,416,Non Rice
0.002744857,0.017465089,2318,535,Non Rice
0.007580788,0.019992005,1475,417,Non Rice
0.00670124,0.026645333,1728,429,Non Rice
0.006472677,0.024765922,1958,499,Non Rice
0.009854191,0.020883337,1984,417,Non Rice
0.007037304,0.036748465,1958,452,Non Rice
0.002042002,0.021353798,1881,387,Non Rice
0.002410673,0.019242954,1872,367,Non Rice
0.004965165,0.017587649,2217,440,Non Rice
0.007216092,0.021095335,2608,441,Non Rice
0.005830247,0.01811067,1896,320,Non Rice
0.004952443,0.023837768,2217,469,Non Rice
0.020698488,0.022010708,1879,368,Non Rice
0.012513031,0.018200923,1740,448,Non Rice
0.013119568,0.027049763,1947,387,Non Rice
0.043512966,0.086640239,1722,390,Non Rice
0.007061953,0.012975745,1894,338,Non Rice
0.007176122,0.015265808,1694,390,Non Rice
0.004835677,0.014687507,1606,524,Non Rice
0.00695649,0.020414921,1763,450,Non Rice
0.005947964,0.009166535,1881,445,Non Rice
0.00494407,0.030401638,2072,427,Non Rice
0.005031232,0.02106235,2359,324,Non Rice
0.002022462,0.013432903,2110,341,Non Rice
0.009231578,0.045170188,1914,392,Non Rice
0.010765238,0.03975274,2150,405,Non Rice
0.005597007,0.014210016,2255,344,Non Rice
0.008162589,0.018630436,1845,490,Non Rice
0.004577214,0.044653166,2129,437,Non Rice
0.012594063,0.012885438,2220,496,Non Rice
0.004972923,0.025159063,1849,490,Non Rice
0.007030227,0.029639076,1462,407,Non Rice
0.010225073,0.017860027,2499,472,Non Rice
0.005174704,0.015454871,2209,311,Non Rice
0.005574893,0.012159834,2096,426,Non Rice
0.004351179,0.025977857,1370,523,Non Rice
0.006690367,0.023570111,2353,327,Non Rice
0.005916932,0.021465106,1925,350,Non Rice
0.003333585,0.014711875,1967,418,Non Rice
0.004966282,0.009671725,2245,463,Non Rice
0.006480608,0.016739868,2163,470,Non Rice
0.005327112,0.021779168,2346,383,Non Rice
0.049303237,0.382805794,7325,2075,Non Rice
0.082823373,0.30696404,6304,1657,Non Rice
0.034933031,0.24427633,4847,2119,Non Rice
0.080532692,0.21651341,4742,2479,Non Rice
0.068912879,0.293884963,7271,2152,Non Rice
0.076593511,0.191960424,6095,2646,Non Rice
0.033155367,0.070330381,3699,1550,Non Rice
0.0411047,0.228702694,6673,2355,Non Rice
0.055925775,0.264546007,5131,2593,Non Rice
0.060947508,0.282913119,4001,3335,Non Rice
0.03974295,0.402040452,5226,2175,Non Rice
0.082854532,0.373372436,5100,2720,Non Rice
0.047220428,0.243819669,6088,2870,Non Rice
0.062853321,0.094064623,5470,2745,Non Rice
0.087794013,0.225284547,4973,2139,Non Rice
0.032613497,0.397197396,6823,2674,Non Rice
0.027258515,0.261485189,5480,2214,Non Rice
0.042443082,0.24337481,4164,2025,Non Rice
0.087144859,0.150440544,4581,2559,Non Rice
0.045132112,0.235522121,4704,3255,Non Rice
0.095775381,0.395789593,7852,3135,Non Rice
0.082439527,0.170222357,5865,3875,Non Rice
0.059124161,0.273880929,6562,2790,Non Rice
0.121150069,0.281233996,6844,2200,Non Rice
0.050015874,0.475246012,7384,2398,Non Rice
0.086992562,0.244789571,7308,3649,Non Rice
0.063605681,0.276213974,5568,2395,Non Rice
0.034320757,0.294406682,5955,2112,Non Rice
0.054514345,0.374767214,6458,2197,Non Rice
0.09747836,0.339437544,6198,3142,Non Rice
0.0970027,0.134497672,4959,2710,Non Rice
0.102178298,0.174230203,5801,2576,Non Rice
0.035971165,0.210377499,6545,2494,Non Rice
0.024388375,0.472243309,6720,3053,Non Rice
0.089771345,0.205904379,5643,3612,Non Rice
0.056419175,0.182356954,5106,2429,Non Rice
0.056790262,0.165264934,5620,2644,Non Rice
0.049279746,0.247513786,5959,2719,Non Rice
0.03998341,0.176730216,5022,2577,Non Rice
0.076368473,0.352573514,6523,2621,Non Rice
0.049598165,0.265491515,6738,2304,Non Rice
0.045341522,0.211124226,5966,3654,Non Rice
0.113464735,0.17440024,6632,3746,Non Rice
0.032607753,0.171201006,6268,2369,Non Rice
0.041108266,0.235626519,5325,3075,Non Rice
0.042756051,0.168273762,5612,2159,Non Rice
0.028708521,0.299827933,6332,2823,Non Rice
0.076975718,0.460802317,10622,2789,Non Rice
0.153034762,0.428998381,6672,2410,Non Rice
0.054055743,0.175984859,5033,2910,Non Rice
